COMPONENT PM10 (aerosol), day,Unnamed: 2
STATION AGIA SOFIA,,
20010101 00:00,20.0,1.0
20010102 00:00,50.0,1.0
20010103 00:00,85.0,1.0
20010104 00:00,94.0,1.0
20010105 00:00,104.0,1.0
20010106 00:00,91.0,1.0
20010107 00:00,68.0,1.0
20010108 00:00,60.0,1.0
20010109 00:00,48.0,1.0
20010110 00:00,39.0,1.0
20010111 00:00,71.0,1.0
20010112 00:00,76.0,1.0
20010113 00:00,67.0,1.0
20010114 00:00,10.0,1.0
20010115 00:00,30.0,1.0
20010116 00:00,36.0,1.0
20010117 00:00,32.0,1.0
20010118 00:00,33.0,1.0
20010119 00:00,37.0,1.0
20010120 00:00,28.0,1.0
20010121 00:00,-9999.0,0.0
20010122 00:00,-9999.0,0.0
20010123 00:00,-9999.0,0.0
20010124 00:00,-9999.0,0.0
20010125 00:00,-9999.0,0.0
20010126 00:00,48.0,1.0
20010127 00:00,79.0,1.0
20010128 00:00,67.0,1.0
20010129 00:00,89.0,1.0
20010130 00:00,41.0,1.0
20010131 00:00,46.0,1.0
20010201 00:00,36.0,1.0
20010202 00:00,-9999.0,0.0
20010203 00:00,-9999.0,0.0
20010204 00:00,-9999.0,0.0
20010205 00:00,-9999.0,0.0
20010206 00:00,-9999.0,0.0
20010207 00:00,-9999.0,0.0
20010208 00:00,-9999.0,0.0
20010209 00:00,-9999.0,0.0
20010210 00:00,-9999.0,0.0
20010211 00:00,-9999.0,0.0
20010212 00:00,-9999.0,0.0
20010213 00:00,55.0,1.0
20010214 00:00,51.0,1.0
20010215 00:00,30.0,1.0
20010216 00:00,36.0,1.0
20010217 00:00,56.0,1.0
20010218 00:00,54.0,1.0
20010219 00:00,32.0,1.0
20010220 00:00,24.0,1.0
20010221 00:00,25.0,1.0
20010222 00:00,33.0,1.0
20010223 00:00,35.0,1.0
20010224 00:00,60.0,1.0
20010225 00:00,50.0,1.0
20010226 00:00,33.0,1.0
20010227 00:00,30.0,1.0
20010228 00:00,35.0,1.0
20010301 00:00,36.0,1.0
20010302 00:00,25.0,1.0
20010303 00:00,45.0,1.0
20010304 00:00,65.0,1.0
20010305 00:00,128.0,1.0
20010306 00:00,85.0,1.0
20010307 00:00,30.0,1.0
20010308 00:00,41.0,1.0
20010309 00:00,67.0,1.0
20010310 00:00,58.0,1.0
20010311 00:00,57.0,1.0
20010312 00:00,114.0,1.0
20010313 00:00,89.0,1.0
20010314 00:00,58.0,1.0
20010315 00:00,40.0,1.0
20010316 00:00,72.0,1.0
20010317 00:00,73.0,1.0
20010318 00:00,94.0,1.0
20010319 00:00,101.0,1.0
20010320 00:00,83.0,1.0
20010321 00:00,66.0,1.0
20010322 00:00,80.0,1.0
20010323 00:00,36.0,1.0
20010324 00:00,47.0,1.0
20010325 00:00,67.0,1.0
20010326 00:00,162.0,1.0
20010327 00:00,106.0,1.0
20010328 00:00,50.0,1.0
20010329 00:00,44.0,1.0
20010330 00:00,45.0,1.0
20010331 00:00,40.0,1.0
20010401 00:00,29.0,1.0
20010402 00:00,-9999.0,0.0
20010403 00:00,69.0,1.0
20010404 00:00,74.0,1.0
20010405 00:00,76.0,1.0
20010406 00:00,72.0,1.0
20010407 00:00,62.0,1.0
20010408 00:00,56.0,1.0
20010409 00:00,40.0,1.0
20010410 00:00,46.0,1.0
20010411 00:00,52.0,1.0
20010412 00:00,48.0,1.0
20010413 00:00,59.0,1.0
20010414 00:00,22.0,1.0
20010415 00:00,25.0,1.0
20010416 00:00,30.0,1.0
