COMPONENT PM10 (aerosol), day,Unnamed: 2
STATION AGIA SOFIA,,
20070710 00:00,39.0,1.0
20070711 00:00,41.0,1.0
20070712 00:00,31.0,1.0
20070713 00:00,26.0,1.0
20070714 00:00,26.0,1.0
20070715 00:00,44.0,1.0
20070716 00:00,47.0,1.0
20070717 00:00,50.0,1.0
20070718 00:00,57.0,1.0
20070719 00:00,52.0,1.0
20070720 00:00,60.0,1.0
20070721 00:00,49.0,1.0
20070722 00:00,52.0,1.0
20070723 00:00,65.0,1.0
20070724 00:00,115.0,1.0
20070725 00:00,127.0,1.0
20070726 00:00,-9999.0,0.0
20070727 00:00,49.0,1.0
20070728 00:00,41.0,1.0
20070729 00:00,-9999.0,0.0
20070730 00:00,-9999.0,0.0
20070731 00:00,-9999.0,0.0
20070801 00:00,-9999.0,0.0
20070802 00:00,-9999.0,0.0
20070803 00:00,-9999.0,0.0
20070804 00:00,-9999.0,0.0
20070805 00:00,-9999.0,0.0
20070806 00:00,-9999.0,0.0
20070807 00:00,-9999.0,0.0
20070808 00:00,40.0,1.0
20070809 00:00,55.0,1.0
20070810 00:00,43.0,1.0
20070811 00:00,45.0,1.0
20070812 00:00,23.0,1.0
20070813 00:00,21.0,1.0
20070814 00:00,26.0,1.0
20070815 00:00,26.0,1.0
20070816 00:00,36.0,1.0
20070817 00:00,44.0,1.0
20070818 00:00,49.0,1.0
20070819 00:00,44.0,1.0
20070820 00:00,45.0,1.0
20070821 00:00,42.0,1.0
20070822 00:00,56.0,1.0
20070823 00:00,-9999.0,0.0
20070824 00:00,67.0,1.0
20070825 00:00,51.0,1.0
20070826 00:00,51.0,1.0
20070827 00:00,45.0,1.0
20070828 00:00,33.0,1.0
20070829 00:00,39.0,1.0
20070830 00:00,42.0,1.0
20070831 00:00,53.0,1.0
20070901 00:00,58.0,1.0
20070902 00:00,35.0,1.0
20070903 00:00,41.0,1.0
20070904 00:00,39.0,1.0
20070905 00:00,33.0,1.0
20070906 00:00,24.0,1.0
20070907 00:00,34.0,1.0
20070908 00:00,25.0,1.0
20070909 00:00,23.0,1.0
20070910 00:00,29.0,1.0
20070911 00:00,35.0,1.0
20070912 00:00,19.0,1.0
20070913 00:00,25.0,1.0
20070914 00:00,31.0,1.0
20070915 00:00,41.0,1.0
20070916 00:00,28.0,1.0
20070917 00:00,41.0,1.0
20070918 00:00,51.0,1.0
20070919 00:00,51.0,1.0
20070920 00:00,32.0,1.0
