"""30-01-2023""",0.6,0.5,0.5,0.4,0.4,0.5,0.6,0.6,0.7,0.7,0.6,0.6,0.5,0.5,0.4,0.4,0.5,0.6,0.7,0.7,0.6,0.6,0.5,0.6
"""31-01-2023""",0.4,0.4,0.3,0.3,0.4,0.4,0.6,0.6,0.5,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.5,0.4,0.4,0.3,0.3
"""01-02-2023""",0.3,0.3,0.3,0.2,0.2,0.3,0.3,0.4,0.7,0.5,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.5,1.2,2.1,2.3,2.7,2.3
"""02-02-2023""",1.3,0.9,0.7,0.5,0.5,0.6,1.0,2.0,2.7,2.7,1.7,1.4,0.9,0.7,0.7,0.6,0.7,0.8,2.0,2.5,2.5,2.3,2.1,0.9
"""03-02-2023""",0.5,0.4,0.3,0.3,0.3,0.3,0.4,0.3,0.5,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.5,0.6,0.7,0.9,1.0,1.4
"""04-02-2023""",1.2,1.3,0.9,0.9,0.8,0.7,0.8,1.3,1.5,1.1,0.8,0.6,0.5,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
"""05-02-2023""",0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.3
"""06-02-2023""",0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.6,0.6,0.5,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.5,0.5,0.5,0.6,0.4
"""07-02-2023""",0.4,0.3,0.3,0.3,0.3,0.4,0.5,0.9,0.9,0.7,0.6,0.5,0.4,0.4,0.3,0.3,0.4,0.4,0.6,0.7,0.8,0.7,0.8,0.7
"""08-02-2023""",0.6,0.5,0.4,0.4,0.4,0.4,0.6,0.8,0.9,0.7,0.6,0.6,0.5,0.4,0.4,0.4,0.4,0.5,0.9,1.0,1.0,0.8,0.9,1.0
"""09-02-2023""",0.9,0.8,0.7,0.4,0.4,0.4,0.6,0.7,0.9,0.6,0.6,0.5,0.4,0.5,0.4,0.5,0.6,0.7,1.0,1.1,1.2,1.3,1.6,1.2
"""10-02-2023""",0.9,0.5,0.3,0.3,0.3,0.4,0.8,1.5,1.8,1.3,0.8,0.6,0.4,0.5,0.5,0.4,0.3,0.5,1.4,1.5,1.4,2.0,1.6,1.4
"""11-02-2023""",1.2,1.1,0.9,0.7,0.7,0.6,0.7,0.7,0.6,0.6,0.6,0.6,0.5,0.4,0.4,0.4,0.4,0.5,1.2,1.8,1.8,1.6,1.8,1.5
"""12-02-2023""",1.6,1.3,1.1,1.1,1.3,1.0,0.7,0.8,0.7,0.6,0.6,0.5,0.4,0.4,0.3,0.4,0.4,0.4,0.7,1.1,1.4,1.5,1.1,0.8
"""13-02-2023""",0.9,0.7,0.5,0.5,0.4,0.5,0.8,1.4,1.3,0.8,0.6,0.6,0.5,0.4,0.4,0.4,0.4,0.5,0.8,1.6,1.8,2.2,1.9,1.6
"""14-02-2023""",1.2,0.6,0.8,0.7,0.5,0.5,0.6,0.8,0.8,0.6,0.6,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.4,0.4,0.6,0.5,0.5,0.4
"""15-02-2023""",0.4,0.4,0.3,0.3,0.3,0.3,0.5,0.9,0.9,0.6,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,1.1,1.4,2.0,1.8,1.4,1.2
"""16-02-2023""",0.9,0.8,0.6,0.5,0.5,0.6,0.9,1.8,2.4,2.1,1.7,1.1,0.8,0.6,0.6,0.7,0.6,0.5,0.9,1.6,1.6,1.9,1.9,1.6
"""17-02-2023""",1.3,1.0,0.9,0.9,0.8,0.9,1.5,2.5,2.9,2.6,1.6,1.2,0.9,0.9,0.7,0.7,0.7,0.8,1.1,1.9,1.9,1.8,1.7,1.8
"""18-02-2023""",1.4,1.2,0.8,0.7,0.6,0.8,1.1,1.7,2.0,1.5,1.3,0.9,0.7,0.8,0.7,0.6,0.5,0.6,1.3,1.8,1.8,2.0,2.2,1.9
"""19-02-2023""",1.7,1.4,1.0,1.0,0.8,0.9,0.9,1.3,1.6,1.2,0.8,0.8,0.8,0.8,0.7,0.7,0.5,0.7,0.7,1.6,1.9,1.8,1.5,1.5
"""20-02-2023""",1.2,0.9,0.9,0.4,0.4,0.4,0.4,0.5,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.3,0.3,0.3,0.3,0.3,0.5,0.6,0.6
"""21-02-2023""",0.5,0.6,0.7,0.4,0.4,0.8,1.3,2.0,2.4,1.6,1.2,0.9,0.6,0.6,0.6,0.6,0.5,0.5,0.6,1.8,1.5,1.6,1.4,0.9
"""22-02-2023""",1.0,1.0,0.8,0.7,0.5,0.8,1.2,2.2,2.5,1.8,1.1,0.9,0.8,0.8,0.7,0.7,0.7,0.8,0.6,1.1,1.5,1.4,1.4,1.0
"""23-02-2023""",1.0,0.8,0.6,0.6,0.6,0.6,0.8,1.1,1.1,0.7,0.7,0.6,0.4,0.4,0.4,0.4,0.7,0.4,0.6,0.8,1.5,1.4,1.0,0.9
"""24-02-2023""",1.0,0.7,0.5,0.4,0.4,0.6,0.4,0.7,0.9,0.9,0.6,0.6,0.6,0.6,0.6,0.4,0.4,0.4,0.5,0.4,0.5,0.6,0.9,0.7
"""25-02-2023""",0.9,0.7,0.8,0.6,0.5,0.5,0.6,0.9,1.0,0.8,0.8,0.5,0.5,0.5,0.4,0.3,0.3,0.5,1.2,1.3,1.5,1.6,1.7,1.7
"""26-02-2023""",1.5,1.2,0.9,0.6,0.6,0.5,0.6,0.7,0.9,1.0,0.7,0.5,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
"""27-02-2023""",0.3,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.5,0.7,0.4,0.4,0.4,0.5,0.5,0.3,0.4,0.5,0.6,1.0,1.1,1.0,0.9,0.8
