"""01-01-2016""",7,4,3,2,2.1,2.2,2.3,2.4,3.1,2.5,19,11,10,6,9,4.1,7.1,4.2,8,6.1,3.2,5,3.3,4.3
"""02-01-2016""",4,4,3,4,3,2,2,4,20,10,10,5,7,4,6,4,3,3,5,7,6,5,6,5
"""03-01-2016""",3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"""04-01-2016""",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"""05-01-2016""",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,4,5,4,3,2,2,3,4
"""06-01-2016""",3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,3,3,2
"""07-01-2016""",2,2,2,2,2,2,4,3,5,2,4,4,3,3,2,2,2,2,2,2,2,2,2,2
"""08-01-2016""",2,2,2,2,2,2,2,4,4,6,8,3,2,3,4,3,3,4,4,3,6,4,4,5
"""09-01-2016""",5,2,2,2,2,2,2,2,3,6,9,7,4,6,5,4,3,2,3,3,4,4,2,2
"""10-01-2016""",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2
"""11-01-2016""",2,2,2,2,2,2,2,2,2,2,2,2,2,5,3,2,2,3,6,8,8,7,6,4
"""12-01-2016""",4,3,2,2,2,2,2,2,2,3,3,3,4,3,4,6,3,2,3,4,5,3,2,4
"""13-01-2016""",4,4,2,2,2,2,5,6,6,8,10,4,3,2,2,3,2,2,2,2,2,2,2,2
"""14-01-2016""",2,2,2,2,2,2,2,2,2,4,3,4,2,2,2,2,2,2,3,5,5,5,5,2
"""15-01-2016""",2,2,2,2,2,2,2,2,2,3,2,2,2,2,3,2,2,2,2,2,2,2,2,2
"""16-01-2016""",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"""17-01-2016""",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"""18-01-2016""",2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,2,2,2,2,2,2,2,2,2
"""19-01-2016""",2,2,2,2,2,2,2,2,2,4,4,-9999,-9999,3,3,4,4,3,4,5,5,3,3,2
"""20-01-2016""",2,2,2,2,2,2,2,2,2,2,3,3,2,2,3,2,2,2,2,2,2,2,2,2
"""21-01-2016""",2,2,2,2,2,2,2,2,3,10,12,11,5,8,8,8,6,6,7,4,4,4,2,2
"""22-01-2016""",2,2,2,2,2,3,4,5,6,6,5,4,4,3,3,3,2,3,3,3,3,3,2,2
"""23-01-2016""",2,2,2,2,2,2,2,2,2,4,3,3,4,5,4,4,4,3,4,3,2,3,2,2
"""24-01-2016""",2,2,2,2,2,2,2,5,3,4,8,8,8,3,2,3,4,7,7,5,5,6,5,6
"""25-01-2016""",6,12,12,7,9,8,9,7,-9999,20,16,14,12,12,11,7,7,7,6,5,7,7,6,6
"""26-01-2016""",4,3,2,2,2,2,2,3,3,10,9,10,9,8,7,7,7,6,6,5,4,4,5,6
"""27-01-2016""",7,3,2,2,2,2,2,4,6,6,8,9,6,6,5,6,5,5,5,5,4,4,3,5
"""28-01-2016""",3,2,2,2,2,2,2,2,2,2,8,8,4,3,4,5,5,3,2,4,7,4,2,3
"""29-01-2016""",3,3,2,2,2,2,2,2,2,4,9,9,6,3,5,8,7,5,4,5,6,7,6,4
"""30-01-2016""",2,3,2,2,2,2,2,2,2,5,7,9,6,9,5,6,6,6,4,7,7,9,7,6
"""31-01-2016""",7,5,4,3,2,2,2,2,2,2,4,3,3,3,3,3,2,2,2,2,2,2,2,2
"""01-02-2016""",2,2,2,2,2,2,2,2,3,3,5,7,4,4,5,5,6,6,5,6,5,6,5,4
"""02-02-2016""",4,3,2,2,3,2,2,2,3,10,10,10,7,10,7,6,6,5,3,4,5,5,4,3
"""03-02-2016""",3,2,2,2,2,2,2,2,3,4,5,5,4,4,2,2,2,2,2,2,2,2,2,2
"""04-02-2016""",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"""05-02-2016""",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"""06-02-2016""",2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,5,4,3,3,3,2
