COMPONENT PM10 (aerosol), day,Unnamed: 2
STATION AGIA SOFIA,,
20110101 00:00,85.0,1.0
20110102 00:00,72.0,1.0
20110103 00:00,41.0,1.0
20110104 00:00,41.0,1.0
20110105 00:00,34.0,1.0
20110106 00:00,42.0,1.0
20110107 00:00,61.0,1.0
20110108 00:00,64.0,1.0
20110109 00:00,85.0,1.0
20110110 00:00,98.0,1.0
20110111 00:00,75.0,1.0
20110112 00:00,51.0,1.0
20110113 00:00,56.0,1.0
20110114 00:00,62.0,1.0
20110115 00:00,51.0,1.0
20110116 00:00,16.0,1.0
20110117 00:00,52.0,1.0
20110118 00:00,89.0,1.0
20110119 00:00,89.0,1.0
20110120 00:00,82.0,1.0
20110121 00:00,60.0,1.0
20110122 00:00,41.0,1.0
20110123 00:00,34.0,1.0
20110124 00:00,34.0,1.0
20110125 00:00,27.0,1.0
20110126 00:00,54.0,1.0
20110127 00:00,72.0,1.0
20110128 00:00,36.0,1.0
20110129 00:00,34.0,1.0
20110130 00:00,35.0,1.0
20110131 00:00,37.0,1.0
20110201 00:00,46.0,1.0
20110202 00:00,66.0,1.0
20110203 00:00,60.0,1.0
20110204 00:00,59.0,1.0
20110205 00:00,59.0,1.0
20110206 00:00,83.0,1.0
20110207 00:00,57.0,1.0
20110208 00:00,65.0,1.0
20110209 00:00,42.0,1.0
20110210 00:00,26.0,1.0
20110211 00:00,58.0,1.0
20110212 00:00,72.0,1.0
20110213 00:00,35.0,1.0
20110214 00:00,30.0,1.0
20110215 00:00,29.0,1.0
20110216 00:00,21.0,1.0
20110217 00:00,32.0,1.0
20110218 00:00,36.0,1.0
20110219 00:00,26.0,1.0
20110220 00:00,18.0,1.0
20110221 00:00,20.0,1.0
20110222 00:00,21.0,1.0
20110223 00:00,25.0,1.0
20110224 00:00,31.0,1.0
20110225 00:00,32.0,1.0
20110226 00:00,37.0,1.0
20110227 00:00,40.0,1.0
20110228 00:00,44.0,1.0
20110301 00:00,32.0,1.0
20110302 00:00,24.0,1.0
20110303 00:00,26.0,1.0
20110304 00:00,28.0,1.0
20110305 00:00,36.0,1.0
20110306 00:00,32.0,1.0
20110307 00:00,23.0,1.0
20110308 00:00,15.0,1.0
20110309 00:00,22.0,1.0
20110310 00:00,27.0,1.0
20110311 00:00,45.0,1.0
20110312 00:00,42.0,1.0
20110313 00:00,39.0,1.0
20110314 00:00,45.0,1.0
20110315 00:00,45.0,1.0
20110316 00:00,44.0,1.0
20110317 00:00,39.0,1.0
20110318 00:00,41.0,1.0
20110319 00:00,26.0,1.0
20110320 00:00,18.0,1.0
20110321 00:00,31.0,1.0
20110322 00:00,29.0,1.0
20110323 00:00,25.0,1.0
20110324 00:00,35.0,1.0
20110325 00:00,28.0,1.0
20110326 00:00,38.0,1.0
20110327 00:00,34.0,1.0
20110328 00:00,30.0,1.0
20110329 00:00,40.0,1.0
20110330 00:00,22.0,1.0
20110331 00:00,24.0,1.0
20110401 00:00,27.0,1.0
20110402 00:00,29.0,1.0
20110403 00:00,28.0,1.0
20110404 00:00,26.0,1.0
20110405 00:00,32.0,1.0
20110406 00:00,19.0,1.0
20110407 00:00,29.0,1.0
20110408 00:00,53.0,1.0
20110409 00:00,24.0,1.0
20110410 00:00,25.0,1.0
20110411 00:00,21.0,1.0
20110412 00:00,25.0,1.0
20110413 00:00,37.0,1.0
20110414 00:00,16.0,1.0
20110415 00:00,20.0,1.0
20110416 00:00,20.0,1.0
20110417 00:00,16.0,1.0
20110418 00:00,17.0,1.0
20110419 00:00,21.0,1.0
20110420 00:00,28.0,1.0
20110421 00:00,20.0,1.0
20110422 00:00,21.0,1.0
20110423 00:00,19.0,1.0
20110424 00:00,18.0,1.0
20110425 00:00,17.0,1.0
20110426 00:00,17.0,1.0
20110427 00:00,21.0,1.0
20110428 00:00,25.0,1.0
20110429 00:00,26.0,1.0
20110430 00:00,26.0,1.0
20110501 00:00,25.0,1.0
20110502 00:00,38.0,1.0
20110503 00:00,39.0,1.0
20110504 00:00,36.0,1.0
20110505 00:00,18.0,1.0
20110506 00:00,23.0,1.0
20110507 00:00,24.0,1.0
20110508 00:00,25.0,1.0
20110509 00:00,19.0,1.0
20110510 00:00,26.0,1.0
20110511 00:00,30.0,1.0
20110512 00:00,30.0,1.0
20110513 00:00,22.0,1.0
20110514 00:00,26.0,1.0
20110515 00:00,23.0,1.0
20110516 00:00,31.0,1.0
20110517 00:00,27.0,1.0
20110518 00:00,31.0,1.0
20110519 00:00,35.0,1.0
20110520 00:00,49.0,1.0
20110521 00:00,43.0,1.0
20110522 00:00,36.0,1.0
20110523 00:00,44.0,1.0
20110524 00:00,34.0,1.0
20110525 00:00,37.0,1.0
20110526 00:00,40.0,1.0
20110527 00:00,29.0,1.0
20110528 00:00,35.0,1.0
20110529 00:00,32.0,1.0
20110530 00:00,34.0,1.0
20110531 00:00,31.0,1.0
20110601 00:00,37.0,1.0
20110602 00:00,45.0,1.0
20110603 00:00,49.0,1.0
20110604 00:00,38.0,1.0
20110605 00:00,37.0,1.0
20110606 00:00,37.0,1.0
20110607 00:00,34.0,1.0
20110608 00:00,34.0,1.0
20110609 00:00,51.0,1.0
20110610 00:00,30.0,1.0
20110611 00:00,27.0,1.0
20110612 00:00,25.0,1.0
20110613 00:00,28.0,1.0
20110614 00:00,32.0,1.0
20110615 00:00,30.0,1.0
20110616 00:00,27.0,1.0
20110617 00:00,38.0,1.0
20110618 00:00,38.0,1.0
20110619 00:00,33.0,1.0
20110620 00:00,31.0,1.0
20110621 00:00,29.0,1.0
20110622 00:00,34.0,1.0
20110623 00:00,38.0,1.0
20110624 00:00,37.0,1.0
20110625 00:00,36.0,1.0
20110626 00:00,17.0,1.0
20110627 00:00,24.0,1.0
20110628 00:00,26.0,1.0
20110629 00:00,19.0,1.0
20110630 00:00,31.0,1.0
20110701 00:00,22.0,1.0
20110702 00:00,18.0,1.0
20110703 00:00,20.0,1.0
20110704 00:00,18.0,1.0
20110705 00:00,31.0,1.0
20110706 00:00,24.0,1.0
20110707 00:00,31.0,1.0
20110708 00:00,35.0,1.0
20110709 00:00,37.0,1.0
20110710 00:00,56.0,1.0
20110711 00:00,56.0,1.0
