ΣΤΑΤΙΣΤΙΚΑ ΣΤΟΙΧΕΙΑ ΚΕΝΤΡΟΥ ΔΙΑΛΟΓΗΣ ΑΝΑΚΥΚΛΩΣΙΜΩΝ ΥΛΙΚΩΝ IAN-ΔΕΚ  (kg/Κατοικία),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
,Ιαν,Φεβ,Μαρ,Απρ,Μαϊ,Ιουν,Ιουλ,Αυγ,Σεπ,Οκτ,Νοε,Δεκ,sum,
ΚΑΛΑΜΑΡΙΑ,10.72,9.82,11.02,11.25,11.94,11.59,11.24,10.19,12.65,9.67,14.34,,124.43,2021.0
ΚΑΛΑΜΑΡΙΑ,10.86,9.93,11.36,10.79,11.09,11.79,10.72,8.55,13.44,12.17,11.07,11.05,132.82,2020.0
ΚΑΛΑΜΑΡΙΑ,10.18,8.43,10.13,11.7,11.03,10.21,10.84,8.7,9.44,11.88,10.97,11.87,125.38,2019.0
ΚΑΛΑΜΑΡΙΑ,9.45,8.2,9.46,9.34,10.37,10.23,8.6,8.43,10.13,11.7,10.22,10.44,116.56999999999998,2018.0
ΚΑΛΑΜΑΡΙΑ,9.33,7.76,9.48,8.06,10.2,5.03,8.32,7.72,9.88,10.36,9.93,9.37,105.44,2017.0
ΚΑΛΑΜΑΡΙΑ,8.74,8.84,8.99,9,9.7,9.15,7.85,7.94,10.87,10.1,9.14,9.04,109.35999999999999,2016.0
ΚΑΛΑΜΑΡΙΑ,7.7,6.91,8.06,7.57,8.08,8.98,6.82,7.71,11.13,10.75,10.02,10.06,103.78999999999999,2015.0
ΚΑΛΑΜΑΡΙΑ,7.75,6.78,7.88,7.32,8.59,8.58,7.64,6.32,9.96,9.16,9.16,9.42,98.55999999999999,2014.0
