"""01-01-2021""",32,53,43,36,21,16,11,10,13,42,39,54,63,66,74,65,63.1,34,13.1,17,16.1,12,12.1,11.1
"""02-01-2021""",11,13,22,24,15,14,11,11,14,21,18,19,17,18,20,23,17,11,13,12,15,17,17,12
"""03-01-2021""",11,15,30,45,27,29,27,14,14,18,31,36,24,24,52,43,26,11,11,11,13,11,11,11
"""04-01-2021""",25,45,37,33,29,14,12,11,29,27,17,34,37,38,37,35,32,31,13,10,11,11,10,10
"""05-01-2021""",10,10,17,10,10,10,10,10,10,33,27,24,28,29,43,50,34,19,14,28,33,32,50,48
"""06-01-2021""",55,41,28,22,22,15,11,13,11,14,15,22,26,31,46,45,36,23,41,54,58,60,73,74
"""07-01-2021""",71,70,45,34,26,50,54,33,38,40,51,57,49,44,40,35,14,11,13,15,11,12,19,25
"""08-01-2021""",20,26,21,13,10,10,10,11,11,18,43,61,60,57,58,58,58,56,56,59,64,70,75,70
"""09-01-2021""",73,74,76,74,45,32,46,43,36,32,29,42,44,53,50,46,29,26,23,22,17,24,18,29
"""10-01-2021""",40,40,39,37,30,41,29,22,18,20,18,19,18,32,23,21,31,15,15,15,12,16,11,13
"""11-01-2021""",17,15,13,14,11,10,10,11,11,18,12,11,19,37,21,14,13,11,10,11,11,18,41,45
"""12-01-2021""",38,36,42,41,38,40,25,16,15,12,19,23,34,38,43,43,48,42,41,44,49,48,55,61
"""13-01-2021""",62,67,67,66,66,61,49,34,26,38,41,38,40,49,59,61,53,48,46,48,53,61,57,58
"""14-01-2021""",66,68,74,74,72,70,62,59,51,51,55,65,56,53,66,51,33,21,24,34,40,66,64,68
"""15-01-2021""",71,71,69,70,67,61,50,41,38,44,47,52,59,61,60,58,62,32,20,30,22,14,16,14
"""16-01-2021""",29,59,66,61,61,54,57,45,41,39,43,43,45,52,51,54,57,54,62,66,69,71,71,72
"""17-01-2021""",74,73,74,74,68,64,59,61,61,63,67,69,74,77,76,74,65,44,32,33,35,32,32,40
"""18-01-2021""",37,46,59,45,50,52,40,24,32,40,50,57,60,66,58,56,51,30,21,28,43,54,59,61
"""19-01-2021""",62,65,64,67,64,64,59,48,41,44,44,48,55,51,50,51,47,41,22,32,29,32,32,30
"""20-01-2021""",16,12,11,11,14,11,11,11,11,13,14,15,19,29,51,51,39,21,11,10,11,11,11,11
"""21-01-2021""",11,11,10,10,10,10,10,10,10,10,12,14,15,16,17,17,20,18,10,11,11,11,10,10
"""22-01-2021""",10,10,10,10,10,10,10,10,10,10,11,12,14,23,27,20,11,10,10,11,11,11,11,11
"""23-01-2021""",11,10,10,10,10,18,10,10,10,15,26,32,46,45,48,46,43,47,55,63,58,54,56,54
"""24-01-2021""",58,49,33,43,38,41,23,15,12,18,44,64,59,64,68,70,69,62,63,71,71,74,76,81
"""25-01-2021""",84,89,91,94,91,69,36,19,17,19,52,60,59,61,58,36,49,28,33,15,25,28,32,63
"""26-01-2021""",75,77,85,85,85,76,65,56,52,57,65,59,45,36,24,24,39,42,45,48,61,65,69,69
"""27-01-2021""",72,73,72,72,70,64,59,57,56,54,60,59,57,55,59,57,56,51,50,52,53,55,59,69
"""28-01-2021""",74,75,70,71,70,64,55,41,40,52,60,61,64,60,63,64,58,46,33,33,31,26,15,14
"""29-01-2021""",12,13,13,17,19,14,11,11,11,16,18,18,33,40,39,46,40,30,23,15,12,12,11,11
"""30-01-2021""",11,12,21,25,25,15,14,12,12,17,55,50,41,45,69,73,75,71,44,51,33,14,11,12
"""31-01-2021""",11,11,11,13,10,10,10,11,11,13,16,31,19,24,14,17,13,16,11,11,11,11,11,24
"""01-02-2021""",22,35,30,42,58,31,13,40,27,19,17,15,37,41,48,43,35,14,14,14,21,14,12,10
"""02-02-2021""",10,10,10,10,10,10,10,10,10,10,13,13,15,19,30,36,36,23,19,10,10,10,10,10
"""03-02-2021""",10,9,10,9,14,13,10,9,10,11,12,15,18,24,47,31,41,47,34,10,10,10,10,10
"""04-02-2021""",10,10,11,18,18,10,11,12,11,13,13,21,31,38,42,42,40,29,10,10,10,10,10,10
"""05-02-2021""",9,10,10,10,9,9,10,9,10,13,17,25,37,27,48,46,49,38,38,32,26,27,15,11
"""06-02-2021""",14,13,20,19,20,18,20,13,11,12,22,41,49,64,63,76,62,69,54,25,11,10,9,9
